,MD Cutoffs,optimal read fraction cutoff,AUC,TPR,1 - FPR
0,0.0,0.003791868548556983,0.9409722222222222,0.9583333333333334,0.8333333333333334
1,0.05,0.003791868548556983,0.9409722222222222,0.9583333333333334,0.8333333333333334
2,0.1,0.0031598904571308187,0.9756944444444444,0.9583333333333334,1.0
3,0.15,0.005102040816326531,0.982638888888889,0.9166666666666666,1.0
4,0.2,0.005102040816326531,0.982638888888889,0.9166666666666666,1.0
5,0.25,0.0047376093294460644,0.982638888888889,0.9166666666666666,1.0
6,0.3,0.0047376093294460644,0.986111111111111,0.9166666666666666,1.0
7,0.35,0.0047376093294460644,0.986111111111111,0.9166666666666666,1.0
8,0.4,0.004,0.9340277777777777,0.875,1.0
9,0.45,0.004,0.9340277777777777,0.875,1.0
10,0.5,0.004,0.9340277777777777,0.875,1.0
11,0.55,0.004,0.9340277777777777,0.875,1.0
12,0.6,0.0026666666666666666,0.9409722222222223,0.875,1.0
13,0.65,0.0004213187276174426,0.9479166666666666,0.9166666666666666,1.0
14,0.7,0.0004213187276174426,0.9479166666666666,0.9166666666666666,1.0
15,0.75,0.0002106593638087213,0.9479166666666666,0.9166666666666666,1.0
16,0.8,0.002,0.9097222222222222,0.8333333333333334,1.0
17,0.85,0.0007288629737609329,0.7708333333333333,0.5416666666666666,1.0
18,0.9,0.0007288629737609329,0.7708333333333333,0.5416666666666666,1.0
19,0.95,0.00036443148688046647,0.6875,0.375,1.0
20,1.0,0.00036443148688046647,0.6875,0.375,1.0
