,BLCA_tumors,BLCA_ctrls,BRCA_tumors,BRCA_ctrls,COAD_tumors,COAD_ctrls,HNSC_tumors,HNSC_ctrls,KIRC_tumors,KIRC_ctrls,KIRP_tumors,KIRP_ctrls,LAML_tumors,LAML_ctrls,LIHC_tumors,LIHC_ctrls,LUAD_tumors,LUAD_ctrls,LUSC_tumors,LUSC_ctrls,OV_tumors,OV_ctrls,PAAD_tumors,PAAD_ctrls,PRAD_tumors,PRAD_ctrls,READ_tumors,READ_ctrls,STAD_tumors,STAD_ctrls,UCEC_tumors,UCEC_ctrls
cg11294513,0.601988901151,0.23744771211,0.457021155928,0.185567075061,0.679779948507,0.581758641953,0.593834927446,0.211962084925,0.249938281034,0.0699702928708,0.237965716036,0.0771460359277,,,0.506582856921,0.161466578608,0.420732341222,0.152829318829,0.537536890347,0.102437551122,0.681353228009,,0.43414541846,0.111496225077,0.583927187318,0.274904591116,0.694717809892,0.547578953887,0.590330365127,0.307734614589,0.719092526458,0.20226931805
cg05661282,0.599578528933,0.141760142614,0.417392395406,0.0901585255091,0.679708925111,0.570083777293,0.579698433485,0.114293979105,0.145672607605,0.0185643912319,0.129592006882,0.0206618684778,,,0.472719984982,0.0627461219354,0.36892115288,0.0504878894414,0.521653119538,0.0258032526168,0.725186495823,,0.392150552579,0.0354506156365,0.577608343491,0.148476269398,0.701737738923,0.567544532107,0.586784629792,0.220204803062,0.748603017986,0.118810023919
cg21790626,0.564657588013,0.0992431600866,0.381792802958,0.0543174703467,0.637932718101,0.496094323621,0.532607068334,0.0717958619315,0.142147926281,0.0131505236615,0.135794738257,0.0163324315638,,,0.48902643512,0.0301306618403,0.333317967325,0.0357404310823,0.478093515882,0.0163412498357,0.678483834947,,0.314022676439,0.0250159900954,0.521674989207,0.139247783954,0.671233693082,0.483579496128,0.521406590106,0.115337228687,0.710502039318,0.0902314146691
cg27049766,0.596806610787,0.162078288483,0.450601099808,0.127684115097,0.691688541547,0.568121608315,0.555341533636,0.158830130509,0.213212603126,0.0540293686622,0.236853051086,0.0594807704675,,,0.523850111216,0.140157688005,0.374151398231,0.124606382365,0.515922596809,0.0680864749352,0.705178941859,,0.353612799001,0.0843180875624,0.574219447005,0.227535289827,0.71558017113,0.526366298268,0.551834783425,0.201611874622,0.751509607538,0.148344299375
count,412.0,21.0,783.0,97.0,295.0,38.0,528.0,50.0,319.0,160.0,275.0,45.0,0.0,0.0,377.0,50.0,458.0,32.0,370.0,42.0,10.0,0.0,184.0,10.0,498.0,50.0,98.0,7.0,395.0,2.0,431.0,46.0
