,MD Cutoffs,optimal read count cutoff,AUC,TPR,1 - FPR
0,0.0,27.835051546391757,0.526266416510319,0.5384615384615384,0.6341463414634146
1,0.05,27.835051546391757,0.526266416510319,0.5384615384615384,0.6341463414634146
2,0.1,7.936507936507936,0.5844277673545967,0.9230769230769231,0.3902439024390244
3,0.15,7.216494845360826,0.6449343339587242,0.8461538461538461,0.4878048780487805
4,0.2,7.216494845360826,0.6449343339587242,0.8461538461538461,0.4878048780487805
5,0.25,8.641975308641975,0.6472795497185742,0.7307692307692307,0.6097560975609756
6,0.3,6.1728395061728385,0.649155722326454,0.8461538461538461,0.5121951219512195
7,0.35,6.1728395061728385,0.649155722326454,0.8461538461538461,0.5121951219512195
8,0.4,4.938271604938271,0.676829268292683,0.8076923076923077,0.5609756097560976
9,0.45,6.756756756756756,0.6796435272045028,0.7307692307692307,0.6829268292682926
10,0.5,6.741573033707866,0.6866791744840526,0.6923076923076923,0.7560975609756098
11,0.55,6.741573033707866,0.6866791744840526,0.6923076923076923,0.7560975609756098
12,0.6,6.741573033707866,0.6712007504690432,0.6538461538461539,0.8292682926829268
13,0.65,4.878048780487805,0.6852720450281427,0.6538461538461539,0.7804878048780488
14,0.7,4.878048780487805,0.6852720450281427,0.6538461538461539,0.7804878048780488
15,0.75,4.285714285714286,0.674015009380863,0.6538461538461539,0.7804878048780488
16,0.8,5.405405405405405,0.6838649155722327,0.5769230769230769,0.8536585365853658
17,0.85,2.7027027027027026,0.698405253283302,0.5769230769230769,0.8780487804878049
18,0.9,2.7027027027027026,0.698405253283302,0.5769230769230769,0.8780487804878049
19,0.95,1.3513513513513513,0.6688555347091932,0.5769230769230769,0.8292682926829268
20,1.0,1.3513513513513513,0.6688555347091932,0.5769230769230769,0.8292682926829268
