,MD Cutoffs,optimal read fraction cutoff,AUC,TPR,1 - FPR
0,0.0,0.41552941176470587,0.7689393939393939,0.6666666666666666,0.8181818181818181
1,0.05,0.41552941176470587,0.7689393939393939,0.6666666666666666,0.8181818181818181
2,0.1,0.6149425287356322,0.7537878787878788,0.4166666666666667,1.0
3,0.15,0.34853921066119936,0.7840909090909091,0.5833333333333334,0.9545454545454546
4,0.2,0.34853921066119936,0.7840909090909091,0.5833333333333334,0.9545454545454546
5,0.25,0.32141176470588234,0.8428030303030303,0.5833333333333334,1.0
6,0.3,0.3101176470588235,0.8522727272727273,0.5833333333333334,1.0
7,0.35,0.09480364934549781,0.8806818181818181,0.8333333333333334,0.8636363636363636
8,0.4,0.09480364934549781,0.8806818181818181,0.8333333333333334,0.8636363636363636
9,0.45,0.03787878787878788,0.9034090909090908,0.9166666666666666,0.8181818181818181
10,0.5,0.03787878787878788,0.9034090909090908,0.9166666666666666,0.8181818181818181
11,0.55,0.03787878787878788,0.9071969696969697,0.9166666666666666,0.8181818181818181
12,0.6,0.02807227116619382,0.9204545454545454,0.9166666666666666,0.8636363636363636
13,0.65,0.014633417948335076,0.9261363636363635,0.9166666666666666,0.8636363636363636
14,0.7,0.014633417948335076,0.9393939393939392,0.9166666666666666,0.9090909090909091
15,0.75,0.014633417948335076,0.9393939393939392,0.9166666666666666,0.9090909090909091
16,0.8,0.03787878787878788,0.9356060606060604,0.8333333333333334,0.9545454545454546
17,0.85,0.010751082574286995,0.9564393939393939,0.9166666666666666,1.0
18,0.9,0.03787878787878788,0.912878787878788,0.8333333333333334,1.0
19,0.95,0.03787878787878788,0.912878787878788,0.8333333333333334,1.0
20,1.0,0.03787878787878788,0.912878787878788,0.8333333333333334,1.0
